X	Y
45	0.724037
46	0.813222
47	0.0152703
48	0.590215
49	0.909644
50	0.0688406
51	0.449207
52	0.973434
53	0.156757
54	0.312245
55	0.99951
56	0.272015
57	0.19024
58	0.985796
59	0.405435
60	0.0929095
61	0.933384
62	0.546388
63	0.0280079
64	0.846448
65	0.683646
66	0.000704964
67	0.731914
68	0.806274
69	0.0131756
70	0.598907
71	0.904505
72	0.0644263
73	0.45802
74	0.970513
75	0.150375
76	0.320478
77	0.999041
78	0.264174
79	0.197236
80	0.987815
81	0.396759
82	0.0981123
83	0.93773
84	0.537568
85	0.0310026
86	0.852776
87	0.675385
88	0.00125304
89	0.739719
90	0.79923
91	0.0112334
92	0.607567
93	0.899239
94	0.0601485
95	0.466847
96	0.967445
97	0.144102
98	0.328767
99	0.998414
100	0.256406
101	0.204327
102	0.98968
103	0.388115
104	0.103441
105	0.941939
106	0.528736
107	0.0341443
108	0.858993
109	0.667068
110	0.00195741
111	0.747449
112	0.792092
113	0.00944432
114	0.616194
115	0.893848
116	0.0560086
117	0.475683
118	0.96423
119	0.137941
120	0.337109
121	0.997632
122	0.248715
123	0.211511
124	0.991393
125	0.379506
126	0.108894
127	0.946009
128	0.519895
129	0.037432
130	0.865097
131	0.6587
132	0.00281787
133	0.755101
134	0.784863
135	0.00780902
136	0.624785
137	0.888333
138	0.0520078
139	0.484528
